;Label;SuperCategory;Has role;Is part of;Id;Synonym;DefiningCitation;Definition;Comment
"owl:Class
""contrast used""
oen_term:oen_0000000
""odML terminology""";contrast used;oen_term:oen_0000000;';';oen_0000495;';';';'
"owl:Class
""stimulus isolator output range minimum voltage""
oen_term:oen_0000000
""odML terminology""";stimulus isolator output range minimum voltage;oen_term:oen_0000000;';';oen_0000494;';';';'
"owl:Class
""electroretinography""
oen_term:oen_0000000
""odML terminology""";electroretinography;oen_term:oen_0000000;';';oen_0000493;';';';'
"owl:Class
""stimulation nature""
oen_term:oen_0000000
""odML terminology""";stimulation nature;oen_term:oen_0000000;';';oen_0000492;';';';'
"owl:Class
""experimental setup location""
oen_term:oen_0000000
""odML terminology""";experimental setup location;oen_term:oen_0000000;';';oen_0000491;';';';'
"owl:Class
""stimulation grating""
oen_term:oen_0000000
""Helmholtz""";stimulation grating;oen_term:oen_0000000;';';oen_0000490;';';';'
"owl:Class
""cell layer""
oen_term:oen_0000000
""odML terminology""";cell layer;oen_term:oen_0000000;';';oen_0000354;';';';'
"owl:Class
""device subsystem""
oen_term:oen_0000000
""Helmholtz""";device subsystem;oen_term:oen_0000000;';';oen_0000355;';';';'
"owl:Class
""behavioral paradigm""
oen_term:oen_0000000
""odML terminology""";behavioral paradigm;oen_term:oen_0000000;';';oen_0000356;';';';'
"owl:Class
""excitation filter""
oen_term:oen_0000000
""odML terminology""";excitation filter;oen_term:oen_0000000;';';oen_0000357;';';';'
"owl:Class
""cut orientation""
oen_term:oen_0000000
""Helmholtz""";cut orientation;oen_term:oen_0000000;';';oen_0000350;';';';'
"owl:Class
""light source wavelength""
oen_term:oen_0000000
""odML terminology""";light source wavelength;oen_term:oen_0000000;';';oen_0000351;';';';'
"owl:Class
""experimental researcher""
oen_term:oen_0000000
""Helmholtz""";experimental researcher;oen_term:oen_0000000;';';oen_0000352;';';';'
"owl:Class
""candela per square meter""
oen_term:oen_0000000
""odML terminology""";candela per square meter;oen_term:oen_0000000;';';oen_0000353;';';';'
"owl:Class
""frame grabber detector""
oen_term:oen_0000000
""odML terminology""";frame grabber detector;oen_term:oen_0000000;';';oen_0000358;';';';'
"owl:Class
""investigator role""
oen_term:oen_0000000
""odML terminology""";investigator role;oen_term:oen_0000000;';';oen_0000359;';';';'
"owl:Class
""species strain nomenclature""
oen_term:oen_0000000
""Helmholtz""";species strain nomenclature;oen_term:oen_0000000;';';oen_0000408;';';';'
"owl:Class
""experiment start""
oen_term:oen_0000000
""Helmholtz""";experiment start;oen_term:oen_0000000;';';oen_0000409;';';';'
"owl:Class
""subject weight""
oen_term:oen_0000000
""odML terminology""";subject weight;oen_term:oen_0000000;';';oen_0000708;';';';'
"owl:Class
""occupation""
oen_term:oen_0000000
""Helmholtz""";occupation;oen_term:oen_0000000;';';oen_0000400;';';';'
"owl:Class
""device channel type""
oen_term:oen_0000000
""Helmholtz""";device channel type;oen_term:oen_0000000;';';oen_0000401;';';';'
"owl:Class
""continuous recording""
oen_term:oen_0000000
""Helmholtz""";continuous recording;oen_term:oen_0000000;';';oen_0000402;';';';'
